"white","black","result"
"3_LMR_Opt","2_Manual","1/2-1/2"
"2_Manual","3_LMR_Opt","1-0"
"2_Manual","3_LMR_Opt","1-0"
"3_LMR_Opt","2_Manual","1-0"
"4_RFP_Final","2_Manual","1-0"
"2_Manual","4_RFP_Final","1-0"
"2_Manual","4_RFP_Final","0-1"
"4_RFP_Final","2_Manual","1-0"
"4_RFP_Final","3_LMR_Opt","1-0"
"3_LMR_Opt","4_RFP_Final","1/2-1/2"
"3_LMR_Opt","4_RFP_Final","1/2-1/2"
"4_RFP_Final","3_LMR_Opt","1-0"
"2_Manual","1_Base","1-0"
"1_Base","2_Manual","1/2-1/2"
"1_Base","2_Manual","1/2-1/2"
"2_Manual","1_Base","1-0"
"3_LMR_Opt","1_Base","1/2-1/2"
"1_Base","3_LMR_Opt","1-0"
"1_Base","3_LMR_Opt","1-0"
"3_LMR_Opt","1_Base","0-1"
"4_RFP_Final","1_Base","1-0"
"1_Base","4_RFP_Final","1-0"
"1_Base","4_RFP_Final","1/2-1/2"
"4_RFP_Final","1_Base","1-0"
"3_LMR_Opt","2_Manual","1-0"
"2_Manual","3_LMR_Opt","1/2-1/2"
"2_Manual","3_LMR_Opt","0-1"
"3_LMR_Opt","2_Manual","1-0"
"4_RFP_Final","2_Manual","1/2-1/2"
"2_Manual","4_RFP_Final","1/2-1/2"
"2_Manual","4_RFP_Final","1/2-1/2"
"4_RFP_Final","2_Manual","1/2-1/2"
"4_RFP_Final","3_LMR_Opt","1-0"
"3_LMR_Opt","4_RFP_Final","1-0"
"3_LMR_Opt","4_RFP_Final","1-0"
"4_RFP_Final","3_LMR_Opt","1-0"
"2_Manual","1_Base","1-0"
"1_Base","2_Manual","1-0"
"1_Base","2_Manual","1/2-1/2"
"2_Manual","1_Base","1-0"
"3_LMR_Opt","1_Base","1-0"
"1_Base","3_LMR_Opt","0-1"
"1_Base","3_LMR_Opt","0-1"
"3_LMR_Opt","1_Base","1-0"
"4_RFP_Final","1_Base","1-0"
"1_Base","4_RFP_Final","0-1"
"1_Base","4_RFP_Final","1/2-1/2"
"4_RFP_Final","1_Base","1-0"
"3_LMR_Opt","2_Manual","1-0"
"2_Manual","3_LMR_Opt","1/2-1/2"
"2_Manual","3_LMR_Opt","1-0"
"3_LMR_Opt","2_Manual","1-0"
"4_RFP_Final","2_Manual","1-0"
"2_Manual","4_RFP_Final","1-0"
"2_Manual","4_RFP_Final","1/2-1/2"
"4_RFP_Final","2_Manual","0-1"
"4_RFP_Final","3_LMR_Opt","1-0"
"3_LMR_Opt","4_RFP_Final","1-0"
"3_LMR_Opt","4_RFP_Final","1-0"
"4_RFP_Final","3_LMR_Opt","1-0"
"2_Manual","1_Base","1-0"
"1_Base","2_Manual","1/2-1/2"
"1_Base","2_Manual","1-0"
"2_Manual","1_Base","1-0"
"3_LMR_Opt","1_Base","1-0"
"1_Base","3_LMR_Opt","1-0"
"1_Base","3_LMR_Opt","0-1"
"3_LMR_Opt","1_Base","1-0"
"4_RFP_Final","1_Base","1-0"
"1_Base","4_RFP_Final","0-1"
"1_Base","4_RFP_Final","1-0"
"4_RFP_Final","1_Base","1-0"
"3_LMR_Opt","2_Manual","1-0"
"2_Manual","3_LMR_Opt","0-1"
"2_Manual","3_LMR_Opt","1/2-1/2"
"3_LMR_Opt","2_Manual","1-0"
"4_RFP_Final","2_Manual","1/2-1/2"
"2_Manual","4_RFP_Final","1-0"
"2_Manual","4_RFP_Final","1-0"
"4_RFP_Final","2_Manual","1/2-1/2"
"4_RFP_Final","3_LMR_Opt","1/2-1/2"
"3_LMR_Opt","4_RFP_Final","1-0"
"3_LMR_Opt","4_RFP_Final","1/2-1/2"
"4_RFP_Final","3_LMR_Opt","1/2-1/2"
"2_Manual","1_Base","1-0"
"1_Base","2_Manual","1-0"
"1_Base","2_Manual","1-0"
"2_Manual","1_Base","1-0"
"3_LMR_Opt","1_Base","1/2-1/2"
"1_Base","3_LMR_Opt","1/2-1/2"
"1_Base","3_LMR_Opt","0-1"
"3_LMR_Opt","1_Base","1/2-1/2"
"4_RFP_Final","1_Base","1-0"
"1_Base","4_RFP_Final","0-1"
"1_Base","4_RFP_Final","1/2-1/2"
"4_RFP_Final","1_Base","1-0"
"3_LMR_Opt","2_Manual","1-0"
"2_Manual","3_LMR_Opt","1-0"
"2_Manual","3_LMR_Opt","1/2-1/2"
"3_LMR_Opt","2_Manual","1-0"
"4_RFP_Final","2_Manual","1-0"
"2_Manual","4_RFP_Final","1-0"
"2_Manual","4_RFP_Final","1/2-1/2"
"4_RFP_Final","2_Manual","1-0"
"4_RFP_Final","3_LMR_Opt","1/2-1/2"
"3_LMR_Opt","4_RFP_Final","1-0"
"3_LMR_Opt","4_RFP_Final","1-0"
"4_RFP_Final","3_LMR_Opt","1-0"
"2_Manual","1_Base","1-0"
"1_Base","2_Manual","1/2-1/2"
"1_Base","2_Manual","1-0"
"2_Manual","1_Base","1-0"
"3_LMR_Opt","1_Base","1-0"
"1_Base","3_LMR_Opt","1-0"
"1_Base","3_LMR_Opt","1/2-1/2"
"3_LMR_Opt","1_Base","0-1"
"4_RFP_Final","1_Base","1-0"
"1_Base","4_RFP_Final","1-0"
"1_Base","4_RFP_Final","1/2-1/2"
"4_RFP_Final","1_Base","1-0"
"3_LMR_Opt","2_Manual","1-0"
"2_Manual","3_LMR_Opt","1/2-1/2"
"2_Manual","3_LMR_Opt","1-0"
"3_LMR_Opt","2_Manual","0-1"
"4_RFP_Final","2_Manual","1-0"
"2_Manual","4_RFP_Final","1/2-1/2"
"2_Manual","4_RFP_Final","1-0"
"4_RFP_Final","2_Manual","1-0"
"4_RFP_Final","3_LMR_Opt","1-0"
"3_LMR_Opt","4_RFP_Final","1/2-1/2"
"3_LMR_Opt","4_RFP_Final","1-0"
"4_RFP_Final","3_LMR_Opt","1-0"
"2_Manual","1_Base","1/2-1/2"
"1_Base","2_Manual","1-0"
"1_Base","2_Manual","1/2-1/2"
"2_Manual","1_Base","1-0"
"3_LMR_Opt","1_Base","1-0"
"1_Base","3_LMR_Opt","0-1"
"1_Base","3_LMR_Opt","1/2-1/2"
"3_LMR_Opt","1_Base","1-0"
"4_RFP_Final","1_Base","1-0"
"1_Base","4_RFP_Final","1/2-1/2"
"1_Base","4_RFP_Final","1-0"
"4_RFP_Final","1_Base","1-0"
"3_LMR_Opt","2_Manual","1-0"
"2_Manual","3_LMR_Opt","1/2-1/2"
"2_Manual","3_LMR_Opt","1-0"
"3_LMR_Opt","2_Manual","1-0"
"4_RFP_Final","2_Manual","1-0"
"2_Manual","4_RFP_Final","1/2-1/2"
"2_Manual","4_RFP_Final","1/2-1/2"
"4_RFP_Final","2_Manual","1/2-1/2"
"4_RFP_Final","3_LMR_Opt","0-1"
"3_LMR_Opt","4_RFP_Final","1-0"
"3_LMR_Opt","4_RFP_Final","1/2-1/2"
"4_RFP_Final","3_LMR_Opt","1-0"
"2_Manual","1_Base","0-1"
"1_Base","2_Manual","1-0"
"1_Base","2_Manual","1-0"
"2_Manual","1_Base","1-0"
"3_LMR_Opt","1_Base","1-0"
"1_Base","3_LMR_Opt","1/2-1/2"
"1_Base","3_LMR_Opt","1-0"
"3_LMR_Opt","1_Base","1/2-1/2"
"4_RFP_Final","1_Base","1-0"
"1_Base","4_RFP_Final","1/2-1/2"
"1_Base","4_RFP_Final","0-1"
"4_RFP_Final","1_Base","1-0"
"3_LMR_Opt","2_Manual","1/2-1/2"
"2_Manual","3_LMR_Opt","1-0"
"2_Manual","3_LMR_Opt","1-0"
"3_LMR_Opt","2_Manual","1/2-1/2"
"4_RFP_Final","2_Manual","1/2-1/2"
"2_Manual","4_RFP_Final","1-0"
"2_Manual","4_RFP_Final","1/2-1/2"
"4_RFP_Final","2_Manual","1-0"
"4_RFP_Final","3_LMR_Opt","1/2-1/2"
"3_LMR_Opt","4_RFP_Final","1-0"
"3_LMR_Opt","4_RFP_Final","1-0"
"4_RFP_Final","3_LMR_Opt","0-1"
"2_Manual","1_Base","1-0"
"1_Base","2_Manual","1-0"
"1_Base","2_Manual","1-0"
"2_Manual","1_Base","1-0"
"3_LMR_Opt","1_Base","1-0"
"1_Base","3_LMR_Opt","0-1"
"1_Base","3_LMR_Opt","1-0"
"3_LMR_Opt","1_Base","1-0"
"4_RFP_Final","1_Base","1-0"
"1_Base","4_RFP_Final","1-0"
"1_Base","4_RFP_Final","1-0"
"4_RFP_Final","1_Base","1/2-1/2"
"3_LMR_Opt","2_Manual","1-0"
"2_Manual","3_LMR_Opt","1-0"
"2_Manual","3_LMR_Opt","1/2-1/2"
"3_LMR_Opt","2_Manual","1/2-1/2"
"4_RFP_Final","2_Manual","0-1"
"2_Manual","4_RFP_Final","1/2-1/2"
"2_Manual","4_RFP_Final","1/2-1/2"
"4_RFP_Final","2_Manual","1-0"
"4_RFP_Final","3_LMR_Opt","1/2-1/2"
"3_LMR_Opt","4_RFP_Final","1/2-1/2"
"3_LMR_Opt","4_RFP_Final","1/2-1/2"
"4_RFP_Final","3_LMR_Opt","0-1"
"2_Manual","1_Base","1/2-1/2"
"1_Base","2_Manual","1/2-1/2"
"1_Base","2_Manual","1-0"
"2_Manual","1_Base","1/2-1/2"
"3_LMR_Opt","1_Base","1-0"
"1_Base","3_LMR_Opt","1/2-1/2"
"1_Base","3_LMR_Opt","0-1"
"3_LMR_Opt","1_Base","1/2-1/2"
"4_RFP_Final","1_Base","1/2-1/2"
"1_Base","4_RFP_Final","1-0"
"1_Base","4_RFP_Final","1/2-1/2"
"4_RFP_Final","1_Base","1-0"
"3_LMR_Opt","2_Manual","1/2-1/2"
"2_Manual","3_LMR_Opt","1/2-1/2"
"2_Manual","3_LMR_Opt","1-0"
"3_LMR_Opt","2_Manual","1-0"
"4_RFP_Final","2_Manual","1-0"
"2_Manual","4_RFP_Final","1-0"
"2_Manual","4_RFP_Final","1/2-1/2"
"4_RFP_Final","2_Manual","1-0"
"4_RFP_Final","3_LMR_Opt","1/2-1/2"
"3_LMR_Opt","4_RFP_Final","0-1"
"3_LMR_Opt","4_RFP_Final","1-0"
"4_RFP_Final","3_LMR_Opt","0-1"
"2_Manual","1_Base","0-1"
"1_Base","2_Manual","1/2-1/2"
"1_Base","2_Manual","1-0"
"2_Manual","1_Base","1-0"
"3_LMR_Opt","1_Base","1-0"
"1_Base","3_LMR_Opt","0-1"
"1_Base","3_LMR_Opt","1-0"
"3_LMR_Opt","1_Base","1-0"
"4_RFP_Final","1_Base","1-0"
"1_Base","4_RFP_Final","1-0"
"1_Base","4_RFP_Final","1-0"
"4_RFP_Final","1_Base","1-0"
"3_LMR_Opt","2_Manual","1/2-1/2"
"2_Manual","3_LMR_Opt","1-0"
"2_Manual","3_LMR_Opt","1-0"
"3_LMR_Opt","2_Manual","1-0"
"4_RFP_Final","2_Manual","1/2-1/2"
"2_Manual","4_RFP_Final","1-0"
"2_Manual","4_RFP_Final","1-0"
"4_RFP_Final","2_Manual","1-0"
"4_RFP_Final","3_LMR_Opt","1-0"
"3_LMR_Opt","4_RFP_Final","1-0"
"3_LMR_Opt","4_RFP_Final","1-0"
"4_RFP_Final","3_LMR_Opt","1-0"
"2_Manual","1_Base","1/2-1/2"
"1_Base","2_Manual","1/2-1/2"
"1_Base","2_Manual","1/2-1/2"
"2_Manual","1_Base","1-0"
"3_LMR_Opt","1_Base","1-0"
"1_Base","3_LMR_Opt","1/2-1/2"
"1_Base","3_LMR_Opt","1/2-1/2"
"3_LMR_Opt","1_Base","1-0"
"4_RFP_Final","1_Base","1-0"
"1_Base","4_RFP_Final","1/2-1/2"
"1_Base","4_RFP_Final","1-0"
"4_RFP_Final","1_Base","1/2-1/2"
"3_LMR_Opt","2_Manual","1-0"
"2_Manual","3_LMR_Opt","1-0"
"2_Manual","3_LMR_Opt","1/2-1/2"
"3_LMR_Opt","2_Manual","1/2-1/2"
"4_RFP_Final","2_Manual","1-0"
"2_Manual","4_RFP_Final","1-0"
"2_Manual","4_RFP_Final","1-0"
"4_RFP_Final","2_Manual","1-0"
"4_RFP_Final","3_LMR_Opt","1-0"
"3_LMR_Opt","4_RFP_Final","1-0"
"3_LMR_Opt","4_RFP_Final","1/2-1/2"
"4_RFP_Final","3_LMR_Opt","1-0"
"2_Manual","1_Base","1-0"
"1_Base","2_Manual","1-0"
"1_Base","2_Manual","1-0"
"2_Manual","1_Base","1-0"
"3_LMR_Opt","1_Base","1-0"
"1_Base","3_LMR_Opt","1-0"
"1_Base","3_LMR_Opt","1-0"
"3_LMR_Opt","1_Base","1-0"
"4_RFP_Final","1_Base","1-0"
"1_Base","4_RFP_Final","1-0"
"1_Base","4_RFP_Final","1-0"
"4_RFP_Final","1_Base","1/2-1/2"
"3_LMR_Opt","2_Manual","1-0"
"2_Manual","3_LMR_Opt","1/2-1/2"
"2_Manual","3_LMR_Opt","1-0"
"3_LMR_Opt","2_Manual","1-0"
"4_RFP_Final","2_Manual","1-0"
"2_Manual","4_RFP_Final","1/2-1/2"
"2_Manual","4_RFP_Final","1-0"
"4_RFP_Final","2_Manual","1-0"
"4_RFP_Final","3_LMR_Opt","1/2-1/2"
"3_LMR_Opt","4_RFP_Final","1-0"
"3_LMR_Opt","4_RFP_Final","1/2-1/2"
"4_RFP_Final","3_LMR_Opt","1-0"
"2_Manual","1_Base","1/2-1/2"
"1_Base","2_Manual","1-0"
"1_Base","2_Manual","1/2-1/2"
"2_Manual","1_Base","1/2-1/2"
"3_LMR_Opt","1_Base","1-0"
"1_Base","3_LMR_Opt","1-0"
"1_Base","3_LMR_Opt","1-0"
"3_LMR_Opt","1_Base","1-0"
"4_RFP_Final","1_Base","1-0"
"1_Base","4_RFP_Final","0-1"
"1_Base","4_RFP_Final","0-1"
"4_RFP_Final","1_Base","1/2-1/2"
"3_LMR_Opt","2_Manual","1-0"
"2_Manual","3_LMR_Opt","1/2-1/2"
"2_Manual","3_LMR_Opt","1/2-1/2"
"3_LMR_Opt","2_Manual","1/2-1/2"
"4_RFP_Final","2_Manual","1-0"
"2_Manual","4_RFP_Final","1/2-1/2"
"2_Manual","4_RFP_Final","1/2-1/2"
"4_RFP_Final","2_Manual","1-0"
"4_RFP_Final","3_LMR_Opt","1-0"
"3_LMR_Opt","4_RFP_Final","0-1"
"3_LMR_Opt","4_RFP_Final","0-1"
"4_RFP_Final","3_LMR_Opt","1-0"
"2_Manual","1_Base","0-1"
"1_Base","2_Manual","0-1"
"1_Base","2_Manual","1/2-1/2"
"2_Manual","1_Base","1/2-1/2"
"3_LMR_Opt","1_Base","0-1"
"1_Base","3_LMR_Opt","1-0"
"1_Base","3_LMR_Opt","1-0"
"3_LMR_Opt","1_Base","0-1"
"4_RFP_Final","1_Base","1-0"
"1_Base","4_RFP_Final","1-0"
"1_Base","4_RFP_Final","1-0"
"4_RFP_Final","1_Base","1/2-1/2"
"3_LMR_Opt","2_Manual","1-0"
"2_Manual","3_LMR_Opt","1/2-1/2"
"2_Manual","3_LMR_Opt","0-1"
"3_LMR_Opt","2_Manual","1-0"
"4_RFP_Final","2_Manual","1-0"
"2_Manual","4_RFP_Final","1-0"
"2_Manual","4_RFP_Final","1-0"
"4_RFP_Final","2_Manual","1-0"
"4_RFP_Final","3_LMR_Opt","1-0"
"3_LMR_Opt","4_RFP_Final","0-1"
"3_LMR_Opt","4_RFP_Final","1-0"
"4_RFP_Final","3_LMR_Opt","1-0"
"2_Manual","1_Base","1-0"
"1_Base","2_Manual","1-0"
"1_Base","2_Manual","1-0"
"2_Manual","1_Base","1-0"
"3_LMR_Opt","1_Base","1-0"
"1_Base","3_LMR_Opt","1/2-1/2"
"1_Base","3_LMR_Opt","1/2-1/2"
"3_LMR_Opt","1_Base","1-0"
"4_RFP_Final","1_Base","1/2-1/2"
"1_Base","4_RFP_Final","0-1"
"1_Base","4_RFP_Final","1/2-1/2"
"4_RFP_Final","1_Base","1/2-1/2"
"3_LMR_Opt","2_Manual","1-0"
"2_Manual","3_LMR_Opt","1/2-1/2"
"2_Manual","3_LMR_Opt","1-0"
"3_LMR_Opt","2_Manual","1-0"
"4_RFP_Final","2_Manual","1/2-1/2"
"2_Manual","4_RFP_Final","1-0"
"2_Manual","4_RFP_Final","1-0"
"4_RFP_Final","2_Manual","1-0"
"4_RFP_Final","3_LMR_Opt","0-1"
"3_LMR_Opt","4_RFP_Final","1/2-1/2"
"3_LMR_Opt","4_RFP_Final","1-0"
"4_RFP_Final","3_LMR_Opt","1/2-1/2"
"2_Manual","1_Base","1-0"
"1_Base","2_Manual","1-0"
"1_Base","2_Manual","0-1"
"2_Manual","1_Base","1-0"
"3_LMR_Opt","1_Base","1-0"
"1_Base","3_LMR_Opt","0-1"
"1_Base","3_LMR_Opt","1-0"
"3_LMR_Opt","1_Base","1/2-1/2"
"4_RFP_Final","1_Base","1-0"
"1_Base","4_RFP_Final","1/2-1/2"
"1_Base","4_RFP_Final","1/2-1/2"
"4_RFP_Final","1_Base","1-0"
"3_LMR_Opt","2_Manual","1-0"
"2_Manual","3_LMR_Opt","1/2-1/2"
"2_Manual","3_LMR_Opt","0-1"
"3_LMR_Opt","2_Manual","1/2-1/2"
"4_RFP_Final","2_Manual","1-0"
"2_Manual","4_RFP_Final","1-0"
"2_Manual","4_RFP_Final","1-0"
"4_RFP_Final","2_Manual","1-0"
"4_RFP_Final","3_LMR_Opt","1-0"
"3_LMR_Opt","4_RFP_Final","1-0"
"3_LMR_Opt","4_RFP_Final","1-0"
"4_RFP_Final","3_LMR_Opt","1-0"
"2_Manual","1_Base","1-0"
"1_Base","2_Manual","0-1"
"1_Base","2_Manual","0-1"
"2_Manual","1_Base","1-0"
"3_LMR_Opt","1_Base","1-0"
"1_Base","3_LMR_Opt","1/2-1/2"
"1_Base","3_LMR_Opt","0-1"
"3_LMR_Opt","1_Base","1-0"
"4_RFP_Final","1_Base","1-0"
"1_Base","4_RFP_Final","1/2-1/2"
"1_Base","4_RFP_Final","1-0"
"4_RFP_Final","1_Base","1-0"
"3_LMR_Opt","2_Manual","1/2-1/2"
"2_Manual","3_LMR_Opt","1-0"
"2_Manual","3_LMR_Opt","1-0"
"3_LMR_Opt","2_Manual","1-0"
"4_RFP_Final","2_Manual","1-0"
"2_Manual","4_RFP_Final","1/2-1/2"
"2_Manual","4_RFP_Final","1/2-1/2"
"4_RFP_Final","2_Manual","0-1"
"4_RFP_Final","3_LMR_Opt","1-0"
"3_LMR_Opt","4_RFP_Final","1-0"
"3_LMR_Opt","4_RFP_Final","0-1"
"4_RFP_Final","3_LMR_Opt","1-0"
"2_Manual","1_Base","1-0"
"1_Base","2_Manual","1-0"
"1_Base","2_Manual","1/2-1/2"
"2_Manual","1_Base","1-0"
"3_LMR_Opt","1_Base","1/2-1/2"
"1_Base","3_LMR_Opt","1/2-1/2"
"1_Base","3_LMR_Opt","1-0"
"3_LMR_Opt","1_Base","1-0"
"4_RFP_Final","1_Base","1-0"
"1_Base","4_RFP_Final","1-0"
"1_Base","4_RFP_Final","0-1"
"4_RFP_Final","1_Base","1-0"
"3_LMR_Opt","2_Manual","1/2-1/2"
"2_Manual","3_LMR_Opt","1/2-1/2"
"2_Manual","3_LMR_Opt","1/2-1/2"
"3_LMR_Opt","2_Manual","1/2-1/2"
"4_RFP_Final","2_Manual","1-0"
"2_Manual","4_RFP_Final","0-1"
"2_Manual","4_RFP_Final","1-0"
"4_RFP_Final","2_Manual","1/2-1/2"
"4_RFP_Final","3_LMR_Opt","1-0"
"3_LMR_Opt","4_RFP_Final","1-0"
"3_LMR_Opt","4_RFP_Final","1-0"
"4_RFP_Final","3_LMR_Opt","1-0"
"2_Manual","1_Base","1-0"
"1_Base","2_Manual","1-0"
"1_Base","2_Manual","1/2-1/2"
"2_Manual","1_Base","1-0"
"3_LMR_Opt","1_Base","1/2-1/2"
"1_Base","3_LMR_Opt","0-1"
"1_Base","3_LMR_Opt","1-0"
"3_LMR_Opt","1_Base","1-0"
"4_RFP_Final","1_Base","1/2-1/2"
"1_Base","4_RFP_Final","1/2-1/2"
"1_Base","4_RFP_Final","1/2-1/2"
"4_RFP_Final","1_Base","1-0"
"3_LMR_Opt","2_Manual","1/2-1/2"
"2_Manual","3_LMR_Opt","1-0"
"2_Manual","3_LMR_Opt","0-1"
"3_LMR_Opt","2_Manual","1-0"
"4_RFP_Final","2_Manual","1-0"
"2_Manual","4_RFP_Final","1-0"
"2_Manual","4_RFP_Final","1-0"
"4_RFP_Final","2_Manual","1/2-1/2"
"4_RFP_Final","3_LMR_Opt","1/2-1/2"
"3_LMR_Opt","4_RFP_Final","1-0"
"3_LMR_Opt","4_RFP_Final","0-1"
"4_RFP_Final","3_LMR_Opt","1-0"
"2_Manual","1_Base","1-0"
"1_Base","2_Manual","1-0"
"1_Base","2_Manual","1-0"
"2_Manual","1_Base","1-0"
"3_LMR_Opt","1_Base","1/2-1/2"
"1_Base","3_LMR_Opt","0-1"
"1_Base","3_LMR_Opt","1-0"
"3_LMR_Opt","1_Base","1-0"
"4_RFP_Final","1_Base","1-0"
"1_Base","4_RFP_Final","1-0"
"1_Base","4_RFP_Final","1-0"
"4_RFP_Final","1_Base","1-0"
"3_LMR_Opt","2_Manual","1/2-1/2"
"2_Manual","3_LMR_Opt","1/2-1/2"
"2_Manual","3_LMR_Opt","1/2-1/2"
"3_LMR_Opt","2_Manual","1-0"
"4_RFP_Final","2_Manual","1-0"
"2_Manual","4_RFP_Final","1-0"
"2_Manual","4_RFP_Final","1/2-1/2"
"4_RFP_Final","2_Manual","1/2-1/2"
"4_RFP_Final","3_LMR_Opt","1-0"
"3_LMR_Opt","4_RFP_Final","1/2-1/2"
"3_LMR_Opt","4_RFP_Final","1/2-1/2"
"4_RFP_Final","3_LMR_Opt","1-0"
"2_Manual","1_Base","1-0"
"1_Base","2_Manual","0-1"
"1_Base","2_Manual","1/2-1/2"
"2_Manual","1_Base","1-0"
"3_LMR_Opt","1_Base","0-1"
"1_Base","3_LMR_Opt","1-0"
"1_Base","3_LMR_Opt","1/2-1/2"
"3_LMR_Opt","1_Base","1-0"
"4_RFP_Final","1_Base","1-0"
"1_Base","4_RFP_Final","1-0"
"1_Base","4_RFP_Final","0-1"
"4_RFP_Final","1_Base","1-0"
"3_LMR_Opt","2_Manual","1-0"
"2_Manual","3_LMR_Opt","1-0"
"2_Manual","3_LMR_Opt","1-0"
"3_LMR_Opt","2_Manual","1-0"
"4_RFP_Final","2_Manual","1-0"
"2_Manual","4_RFP_Final","0-1"
"2_Manual","4_RFP_Final","1/2-1/2"
"4_RFP_Final","2_Manual","0-1"
"4_RFP_Final","3_LMR_Opt","1-0"
"3_LMR_Opt","4_RFP_Final","1/2-1/2"
"3_LMR_Opt","4_RFP_Final","1/2-1/2"
"4_RFP_Final","3_LMR_Opt","1-0"
"2_Manual","1_Base","1-0"
"1_Base","2_Manual","1/2-1/2"
"1_Base","2_Manual","1-0"
"2_Manual","1_Base","1/2-1/2"
"3_LMR_Opt","1_Base","1-0"
"1_Base","3_LMR_Opt","1/2-1/2"
"1_Base","3_LMR_Opt","0-1"
"3_LMR_Opt","1_Base","1-0"
"4_RFP_Final","1_Base","1/2-1/2"
"1_Base","4_RFP_Final","1/2-1/2"
"1_Base","4_RFP_Final","1-0"
"4_RFP_Final","1_Base","1-0"
"3_LMR_Opt","2_Manual","1-0"
"2_Manual","3_LMR_Opt","1-0"
"2_Manual","3_LMR_Opt","1-0"
"3_LMR_Opt","2_Manual","1-0"
"4_RFP_Final","2_Manual","1/2-1/2"
"2_Manual","4_RFP_Final","0-1"
"2_Manual","4_RFP_Final","1-0"
"4_RFP_Final","2_Manual","1-0"
"4_RFP_Final","3_LMR_Opt","1-0"
"3_LMR_Opt","4_RFP_Final","1-0"
"3_LMR_Opt","4_RFP_Final","1/2-1/2"
"4_RFP_Final","3_LMR_Opt","1/2-1/2"
"2_Manual","1_Base","1-0"
"1_Base","2_Manual","1-0"
"1_Base","2_Manual","1/2-1/2"
"2_Manual","1_Base","1/2-1/2"
"3_LMR_Opt","1_Base","1/2-1/2"
"1_Base","3_LMR_Opt","1/2-1/2"
"1_Base","3_LMR_Opt","1-0"
"3_LMR_Opt","1_Base","1-0"
"4_RFP_Final","1_Base","1-0"
"1_Base","4_RFP_Final","1-0"
"1_Base","4_RFP_Final","1-0"
"4_RFP_Final","1_Base","1-0"
"3_LMR_Opt","2_Manual","1-0"
"2_Manual","3_LMR_Opt","1-0"
"2_Manual","3_LMR_Opt","1/2-1/2"
"3_LMR_Opt","2_Manual","1-0"
"4_RFP_Final","2_Manual","1-0"
"2_Manual","4_RFP_Final","1/2-1/2"
"2_Manual","4_RFP_Final","1-0"
"4_RFP_Final","2_Manual","1-0"
"4_RFP_Final","3_LMR_Opt","1/2-1/2"
"3_LMR_Opt","4_RFP_Final","1/2-1/2"
"3_LMR_Opt","4_RFP_Final","1-0"
"4_RFP_Final","3_LMR_Opt","1-0"
